	DJIA	CPI	REAL DJIA
Февраль 1947	5,186826991	3,068052935	7,573273252
Март 1947	5,177279038	3,086486637	7,545291598
Апрель 1947	5,139556074	3,086486637	7,507568634
Май 1947	5,131376912	3,086486637	7,499389471
Июнь 1947	5,177843213	3,091042453	7,541299956
Июль 1947	5,210469276	3,100092289	7,564876184
Август 1947	5,186547466	3,113515309	7,527531353
Сентябрь 1947	5,178914269	3,135494216	7,49791925
Октябрь 1947	5,202962186	3,135494216	7,521967166
Ноябрь 1947	5,18961795	3,139832618	7,504284529
Декабрь 1947	5,199380619	3,152736022	7,501143793
Январь 1948	5,165071647	3,165475048	7,454095796
Февраль 1948	5,119788608	3,157000421	7,417287383
Март 1948	5,177279038	3,152736022	7,479042212
Апрель 1948	5,195786178	3,169685581	7,480599794
Май 1948	5,250911244	3,173878459	7,531531982
Июнь 1948	5,24417792	3,18221184	7,516465276
Июль 1948	5,200318576	3,194583132	7,46023464
Август 1948	5,20241201	3,198673118	7,458238089
Сентябрь 1948	5,183467525	3,198673118	7,439293604
Октябрь 1948	5,239734409	3,194583132	7,499650473
Ноябрь 1948	5,142832464	3,186352633	7,410979027
Декабрь 1948	5,177843213	3,18221184	7,450130569
Январь 1949	5,188055972	3,17805383	7,464501338
Февраль 1949	5,153638355	3,169685581	7,438451971
Март 1949	5,176714545	3,169685581	7,461528161
Апрель 1949	5,159974417	3,173878459	7,440595154
Май 1949	5,126104544	3,169685581	7,41091816
Июнь 1949	5,120505625	3,173878459	7,401126363
Июль 1949	5,170029346	3,165475048	7,459053495
Август 1949	5,185484558	3,169685581	7,470298174
Сентябрь 1949	5,206804966	3,173878459	7,487425704
Октябрь 1949	5,244600084	3,165475048	7,533624232
Ноябрь 1949	5,255148871	3,169685581	7,539962487
Декабрь 1949	5,298967155	3,161246712	7,59221964
Январь 1950	5,307227553	3,157000421	7,604726328
Февраль 1950	5,315371121	3,157000421	7,612869896
Март 1950	5,328118858	3,161246712	7,621371342
Апрель 1950	5,367516883	3,161246712	7,660769368
Май 1950	5,409053408	3,165475048	7,698077556
Июнь 1950	5,342860429	3,169685581	7,627674045
Июль 1950	5,344246298	3,18221184	7,616533654
Август 1950	5,379298096	3,19047635	7,643320942
Сентябрь 1950	5,422126652	3,194583132	7,682042716
Октябрь 1950	5,416144846	3,202746443	7,667897599
Ноябрь 1950	5,427589702	3,206803244	7,675285655
Декабрь 1950	5,461328675	3,218875825	7,696952046
Январь 1951	5,516769932	3,234749174	7,736519955
Февраль 1951	5,529627481	3,246490992	7,737635685
Март 1951	5,513186781	3,250374492	7,717311486
Апрель 1951	5,557329866	3,250374492	7,761454571
Май 1951	5,520059937	3,254242969	7,720316165
Июнь 1951	5,491578863	3,254242969	7,691835091
Июль 1951	5,552416802	3,254242969	7,75267303
Август 1951	5,599347457	3,254242969	7,799603684
Сентябрь 1951	5,602709053	3,261935314	7,795272935
Октябрь 1951	5,56967949	3,265759411	7,758419276
Ноябрь 1951	5,565554355	3,27336401	7,746689542
Декабрь 1951	5,595566033	3,277144733	7,772920496
